Total Step,Objective C,Objective A
20000,  1.8734,  4.7600
40000,  2.1791,  5.6163
60000,  1.0846,  6.4660
80000,  0.4969,  7.2966
100000,  0.2163,  8.1499
120000,  0.0868,  8.9765
140000,  0.0273,  9.8231
160000,  0.2822, 10.6760
180000,  0.0088, 11.4975
200000,  0.0023, 12.3402
220000,  0.0006, 13.1677
240000,  0.0002, 13.9870
260000,  0.1540, 14.8161
280000,  0.0587, 15.5531
300000,  0.0006, 16.0940320000
320000,  0.0009, 16.7433
340000,  0.0004, 17.4080
360000,  0.0001, 18.0481
380000,  0.0000, 18.5680
400000,  0.0000, 18.8049
420000,  0.0000, 19.0444
440000,  0.0000, 19.2551
460000,  0.0000, 19.5141
480000,  0.0000, 19.7733
500000,  0.0022, 20.1413
520000,  0.0172, 20.6298
540000,  0.0000, 20.9523
560000,  0.0000, 21.3148
580000,  0.0000, 21.7341
600000,  0.0000, 22.1799
620000,  0.0544, 22.6308
640000,  0.0001, 23.0449
660000,  0.0000, 23.4864
680000,  0.0000, 23.9424
700000,  0.0000, 24.4013
720000,  0.0000, 24.8417
740000,  0.0000, 25.3050
760000,  0.0000, 25.7857
780000,  0.0005, 26.2025
800000,  0.0000, 26.6963
820000,  0.0000, 27.1531
840000,  0.0000, 27.6135
860000,  0.0000, 28.0645
880000,  0.0000, 28.5108
900000,  0.0127, 28.9521
920000,  0.0000, 29.3744
940000,  0.0001, 29.8105
960000,  0.0000, 30.2748
980000,  0.0000, 30.7248
1000000,  0.0000, 31.2018
